tic,skor,ara60,ever,harga,likuid
BELL,0.42248062015503873,0.0,7,102.0,1419265150.0
LMPI,0.4221576227390181,0.0,5,161.0,83343650.0
BPFI,0.4215116279069767,0.0,0,248.0,20014300.0
NCKL,0.42118863049095606,0.0,0,920.0,40690503750.0
APLN,0.421188630490956,1.0,1,126.0,2893437950.0
KMDS,0.4208656330749354,0.0,0,525.0,50415000.0
PTIS,0.4202196382428941,0.0,14,256.0,24828800.0
BMRI,0.419250645994832,0.0,0,4260.0,549678379000.0
NISP,0.41860465116279066,0.0,0,1275.0,4728000750.0
MICE,0.41828165374677,0.0,2,550.0,6745750.0
SILO,0.41795865633074936,0.0,0,1960.0,693936500.0
BBCA,0.41731266149870805,0.0,0,6300.0,641545448750.0
BTPN,0.4160206718346253,0.0,1,2340.0,51354000.0
CMRY,0.4160206718346253,0.0,0,4500.0,12115553000.0
