tic,score,vol20,off_lo60,mom20,volsurge,liq,px,r_hari,ara_60h
DGIK,0.3898578811369509,0.028430734952117537,0.08897783251231561,0.0025510204081637955,0.24743089001463167,1389245700.0,135.0,-0.007352941176470562,0
SDPC,0.38953488372093026,0.01681636929363032,0.05794600499375746,0.006729729729729517,0.8808723340251514,52855900.0,193.0,-0.015306122448979553,0
DRMA,0.38953488372093026,0.010266600452344262,0.12750109537023402,-0.0490268539049028,1.764998448367007,714569750.0,965.0,-0.02030456852791873,0
DEPO,0.3888888888888889,0.019089899362924434,0.19889937106918198,0.016666666666666385,0.10206399541017057,77039900.0,244.0,0.016666666666666607,1
MRAT,0.38872739018087854,0.029425012945771756,0.0,-0.21013399785778297,2.9228015132354748,112447800.0,356.0,-0.0871794871794872,0
UFOE,0.3879198966408268,0.016449010010770936,0.05278822055137877,-0.027633101851851638,1.4851740430985032,58486950.0,143.0,-0.04026845637583898,0
IDPR,0.3875968992248062,0.01805530141505823,0.00751879699248148,-0.013894228128946695,1.523673831405333,10598200.0,268.0,0.0,0
SMSM,0.3863049095607235,0.008837407610834595,0.07231792939567416,-0.002932451614548248,1.5176023034237647,4258704000.0,1720.0,0.005847953216374213,0
OKAS,0.3863049095607235,0.02796970819267198,0.16985705417891794,-0.04951614042523145,0.3493122126929254,571535700.0,116.0,0.008695652173912993,0
VINS,0.38598191214470284,0.024865498691140145,0.09962463129256749,-0.007042253521127195,0.43124187463491653,58805050.0,143.0,0.0,0
PAMG,0.38598191214470284,0.01879307599029522,0.04107142857142798,-0.0704719387755105,1.99122847633722,358512400.0,53.0,-0.0535714285714286,0
HGII,0.38501291989664077,0.014581110037846432,0.08479975353386693,0.04987792117195711,0.595503370827465,225004100.0,140.0,-0.020979020979020935,0
TRST,0.38404392764857886,0.01652395623313842,0.0759108148488683,0.06647300068352724,0.4717863935342002,30969100.0,474.0,0.0,0
BISI,0.3830749354005168,0.009445357221902144,0.12836021505376394,0.021289537712895656,0.7470402689746529,168343000.0,730.0,0.0,0
